Transaction_ID,Date,Time_of_Purchase,Customer_ID,Customer_Name,Age,Gender,Income_Level,Visit_Frequency,Customer_Category,Loyalty_Member,Products,Product_Categories,Total_Items,Total_Cost,Payment_Method,Discount_Applied,City,Region,Store_Type,Street,Season,Day_of_Week
TXN6310009,2024-12-01,11:02:55,CUST94474,Vivaan Goswami,25,Female,Low,Monthly,Frequent Shopper,No,"Tablet, Soft Drink","Electronics, Beverages",2,8591.369999999999,Net Banking,0.0,Chennai,South,Supermarket,"H.No. 97, Aurora Chowk, Chennai, India",Winter,Sunday
TXN5405768,2024-09-04,11:02:55,CUST18376,Mamooty Hegde,50,Male,High,Monthly,First-Time Shopper,No,"Milk, Cushion Covers, Soap","Groceries, Home Decor, Personal Care",3,6630.98,Credit Card,12.81,Bangalore,South,Supermarket,"H.No. 43, Manda Road, Bangalore, India",Autumn,Wednesday
TXN6131641,2024-12-24,11:02:55,CUST73996,Reyansh Behl,26,Male,Middle,Weekly,Budget Buyer,Yes,Shirt,Clothing,1,471.39,Debit Card,2.01,Pune,West,Supermarket,"176, Bajwa Street, Pune, India",Winter,Tuesday
TXN5109117,2024-12-10,11:02:55,CUST36517,Dhanuk Sarma,23,Male,High,Occasional,Luxury Shopper,No,"Fruit Juice, Saree","Beverages, Clothing",2,8525.51,UPI,0.0,Bangalore,South,Supermarket,"893, Kulkarni Road, Bangalore, India",Winter,Tuesday
TXN7126043,2024-07-04,11:02:55,CUST45637,Hazel Agrawal,54,Male,Middle,Occasional,Budget Buyer,Yes,"Energy Drink, Namkeen, Shampoo","Beverages, Snacks, Personal Care",3,8365.0,Net Banking,17.75,Bangalore,South,Supermarket,"H.No. 920, Dasgupta Path, Bangalore, India",Summer,Thursday
TXN9663562,2024-05-05,11:02:55,CUST84057,Samarth Arya,27,Female,Middle,Occasional,Luxury Shopper,Yes,"Smartphone, Sugar, Smartwatch","Electronics, Groceries, Electronics",3,7475.029999999999,UPI,23.63,Mumbai,West,Supermarket,"H.No. 56, Kala Circle, Mumbai, India",Spring,Sunday
TXN7619502,2024-04-21,11:02:55,CUST69398,Kismat Bahri,61,Male,Low,Monthly,Budget Buyer,Yes,"Saree, Soft Drink, Energy Drink, Lamp","Clothing, Beverages, Beverages, Home Decor",4,13963.78,Credit Card,0.8,Ahmedabad,West,Supermarket,"H.No. 192, Chandra Ganj, Ahmedabad, India",Spring,Sunday
TXN9816678,2025-01-02,11:02:55,CUST37834,Vedika Zachariah,31,Male,High,Weekly,Luxury Shopper,No,"Coffee, Chips, Sugar","Groceries, Snacks, Groceries",3,7979.57,Cash,0.0,Kolkata,East,Supermarket,"H.No. 24, Deshpande Nagar, Kolkata, India",Winter,Thursday
TXN2687800,2024-04-08,11:02:55,CUST21892,Saksham Ray,52,Female,Low,Weekly,First-Time Shopper,No,"Fruit Juice, Sugar, Soft Drink","Beverages, Groceries, Beverages",3,9375.419999999998,Debit Card,0.0,Delhi,North,Supermarket,"58, Saran Road, Delhi, India",Spring,Monday
TXN3451323,2024-11-04,11:02:55,CUST80792,Anahi Kakar,41,Male,Low,Occasional,First-Time Shopper,Yes,"Coffee, Fruit Juice","Groceries, Beverages",2,5305.35,UPI,0.0,Lucknow,North,Supermarket,"61/27, Talwar Chowk, Lucknow, India",Autumn,Monday
TXN1833426,2024-12-19,11:02:55,CUST75144,Zaina Dara,34,Male,Low,Monthly,First-Time Shopper,No,Shampoo,Personal Care,1,4482.84,Cash,10.3,Jaipur,North,Supermarket,"356, Dugal, Jaipur, India",Winter,Thursday
TXN9085294,2024-06-03,11:02:55,CUST50027,Akarsh Batra,49,Female,High,Monthly,Budget Buyer,No,"Saree, Cushion Covers, Trousers","Clothing, Home Decor, Clothing",3,12320.88,Net Banking,0.0,Chennai,South,Supermarket,"44/57, Gulati Marg, Chennai, India",Summer,Monday
TXN2644362,2024-11-03,11:02:55,CUST41595,Zeeshan Vig,42,Male,Middle,Occasional,Frequent Shopper,No,"Smartwatch, Smartwatch, Smartwatch, Shampoo","Electronics, Electronics, Electronics, Personal Care",4,8327.76,Debit Card,0.0,Bangalore,South,Supermarket,"29/506, Bali Road, Bangalore, India",Autumn,Sunday
TXN8567255,2024-12-04,11:02:55,CUST24676,Lakshit Barad,37,Male,Middle,Monthly,Frequent Shopper,Yes,"Shampoo, Chocolate","Personal Care, Snacks",2,8682.01,Debit Card,0.0,Ahmedabad,West,Supermarket,"41/73, Ray Street, Ahmedabad, India",Winter,Wednesday
TXN2737094,2024-06-29,11:02:55,CUST75266,Tushar Thaker,47,Male,High,Weekly,Luxury Shopper,No,"Curtains, Milk, Flower Vase, Toothpaste","Home Decor, Groceries, Home Decor, Personal Care",4,10453.91,Cash,0.0,Hyderabad,South,Supermarket,"346, Sarma Path, Hyderabad, India",Summer,Saturday
TXN3038759,2024-04-19,11:02:55,CUST83244,Raunak Kala,47,Female,High,Weekly,Luxury Shopper,Yes,"Coffee, Dal, Face Cream","Groceries, Groceries, Personal Care",3,7462.750000000001,Credit Card,0.0,Bangalore,South,Supermarket,"12/038, Shan Road, Bangalore, India",Spring,Friday
TXN6224098,2024-08-17,11:02:55,CUST51413,Amani Sandal,38,Male,High,Monthly,Luxury Shopper,No,"Laptop, Smartwatch, Bluetooth Speaker, Green Tea","Electronics, Electronics, Electronics, Beverages",4,5627.68,Debit Card,19.65,Kolkata,East,Supermarket,"644, Barad Nagar, Kolkata, India",Monsoon,Saturday
TXN1184761,2025-01-27,11:02:55,CUST45825,Renee Kumer,56,Female,High,Weekly,Luxury Shopper,No,"Smartwatch, Tea","Electronics, Groceries",2,4845.51,Cash,29.26,Lucknow,North,Supermarket,"14/35, Gara Ganj, Lucknow, India",Winter,Monday
TXN2536116,2024-11-09,11:02:55,CUST63251,Jivin Garg,33,Male,Low,Weekly,Luxury Shopper,Yes,"Shampoo, Soft Drink","Personal Care, Beverages",2,8072.15,Credit Card,18.82,Bangalore,South,Supermarket,"62/860, Saran Chowk, Bangalore, India",Autumn,Saturday
TXN7501530,2025-01-25,11:02:55,CUST87023,Tara Dash,27,Female,High,Monthly,Budget Buyer,No,"Soap, Dal, Bread","Personal Care, Groceries, Groceries",3,8160.37,UPI,8.22,Delhi,North,Supermarket,"47/51, Shankar Ganj, Delhi, India",Winter,Saturday
TXN9665249,2024-08-29,11:02:55,CUST71160,Urvi Bains,31,Female,Low,Weekly,Luxury Shopper,No,"Hair Oil, Fruit Juice, Jeans","Personal Care, Beverages, Clothing",3,5815.75,Debit Card,23.71,Pune,West,Supermarket,"49, Krishnamurthy Zila, Pune, India",Monsoon,Thursday
TXN3087020,2024-09-10,11:02:55,CUST55774,Advik Grover,26,Male,Middle,Occasional,Budget Buyer,No,"Face Cream, Dal, Noodles","Personal Care, Groceries, Snacks",3,10442.77,Cash,0.0,Chennai,South,Supermarket,"82/405, Sodhi Path, Chennai, India",Autumn,Tuesday
TXN9695792,2024-11-25,11:02:55,CUST84219,Zeeshan Sawhney,47,Female,Middle,Occasional,Budget Buyer,No,"Toothpaste, Noodles, Trousers","Personal Care, Snacks, Clothing",3,10018.19,Cash,0.0,Lucknow,North,Supermarket,"H.No. 12, Iyer Nagar, Lucknow, India",Autumn,Monday
TXN9281679,2024-10-02,11:02:55,CUST37361,Nitara Ratti,29,Female,Low,Monthly,First-Time Shopper,Yes,"Chocolate, Lamp","Snacks, Home Decor",2,4256.32,Cash,15.78,Pune,West,Supermarket,"61/195, Karan, Pune, India",Autumn,Wednesday
TXN4238663,2024-10-19,11:02:55,CUST29492,Navya Kannan,43,Female,Middle,Weekly,Frequent Shopper,Yes,"Fruit Juice, Rice, Tablet, Sugar","Beverages, Groceries, Electronics, Groceries",4,4600.37,Debit Card,0.0,Lucknow,North,Supermarket,"530, Bhargava Ganj, Lucknow, India",Autumn,Saturday
TXN7327170,2024-10-24,11:02:55,CUST69691,Hazel Deshpande,48,Male,Low,Weekly,Budget Buyer,Yes,"Cushion Covers, Smartphone","Home Decor, Electronics",2,3181.31,Credit Card,0.0,Lucknow,North,Supermarket,"43, Srinivas, Lucknow, India",Autumn,Thursday
TXN6517175,2024-08-01,11:02:55,CUST63804,Purab Walla,38,Male,Middle,Monthly,Luxury Shopper,Yes,"Fruit Juice, Hair Oil, Jeans","Beverages, Personal Care, Clothing",3,7078.42,UPI,0.0,Pune,West,Supermarket,"805, Samra Road, Pune, India",Monsoon,Thursday
TXN6545153,2024-09-01,11:02:55,CUST48969,Biju Master,25,Female,Low,Monthly,Luxury Shopper,Yes,"Smartphone, Flower Vase, Noodles","Electronics, Home Decor, Snacks",3,4995.25,Cash,4.46,Mumbai,West,Supermarket,"319, Bajwa Path, Mumbai, India",Autumn,Sunday
TXN9437292,2024-03-23,11:02:55,CUST53035,Jhanvi Kothari,63,Male,High,Monthly,First-Time Shopper,Yes,"Toothpaste, Tea","Personal Care, Groceries",2,6364.73,Debit Card,0.0,Chennai,South,Supermarket,"053, Arya, Chennai, India",Spring,Saturday
TXN5768128,2024-03-04,11:02:55,CUST86659,Nakul Sibal,41,Male,Middle,Monthly,Frequent Shopper,Yes,"Bread, Milk, Curtains","Groceries, Groceries, Home Decor",3,8454.279999999999,Cash,0.0,Kolkata,East,Supermarket,"H.No. 32, Buch, Kolkata, India",Spring,Monday
TXN3867775,2024-04-13,11:02:55,CUST10532,Hridaan Arora,31,Male,High,Monthly,Luxury Shopper,No,"Tea, Curtains","Groceries, Home Decor",2,6867.620000000001,Credit Card,0.0,Mumbai,West,Supermarket,"H.No. 55, Seshadri Path, Mumbai, India",Spring,Saturday
TXN2251445,2025-01-08,11:02:55,CUST54975,Hunar Wali,65,Female,Low,Weekly,First-Time Shopper,Yes,"Smartwatch, Face Cream","Electronics, Personal Care",2,3456.52,Debit Card,0.0,Lucknow,North,Supermarket,"49/75, Sunder Marg, Lucknow, India",Winter,Wednesday
TXN6063672,2024-02-20,11:02:55,CUST85725,Sana Kant,65,Male,High,Occasional,Frequent Shopper,No,"Shampoo, Trousers, Green Tea, Saree","Personal Care, Clothing, Beverages, Clothing",4,6537.48,UPI,0.0,Bangalore,South,Supermarket,"33/93, Mannan, Bangalore, India",Winter,Tuesday
TXN9677606,2024-05-28,11:02:55,CUST55945,Lakshay Banik,25,Male,High,Monthly,Luxury Shopper,Yes,"Hoodie, Fruit Juice","Clothing, Beverages",2,7634.110000000001,Cash,22.44,Mumbai,West,Supermarket,"H.No. 951, Krishnan Circle, Mumbai, India",Spring,Tuesday
TXN7356012,2024-04-15,11:02:55,CUST19685,Tarini Kapadia,26,Female,Middle,Weekly,Frequent Shopper,Yes,"Lamp, Soft Drink, Smartphone","Home Decor, Beverages, Electronics",3,5022.21,UPI,0.0,Delhi,North,Supermarket,"78/28, Sane Nagar, Delhi, India",Spring,Monday
TXN2234225,2024-11-27,11:02:55,CUST83350,Anya Chana,22,Female,Middle,Occasional,First-Time Shopper,Yes,"Sneakers, Toothpaste, Sugar","Clothing, Personal Care, Groceries",3,12867.93,Net Banking,0.0,Hyderabad,South,Supermarket,"83/978, Ahuja Ganj, Hyderabad, India",Autumn,Wednesday
TXN7288545,2024-08-12,11:02:55,CUST22789,Jhanvi Ramachandran,61,Male,High,Weekly,Frequent Shopper,No,"Smartphone, Wall Art, Spices","Electronics, Home Decor, Groceries",3,7746.2,Net Banking,0.0,Mumbai,West,Supermarket,"65/98, Jaggi Road, Mumbai, India",Monsoon,Monday
TXN4265877,2024-08-25,11:02:55,CUST46455,Alisha Shetty,47,Female,Low,Occasional,Frequent Shopper,No,"Chocolate, Noodles, Soap","Snacks, Snacks, Personal Care",3,5736.07,Cash,0.0,Lucknow,North,Supermarket,"H.No. 56, Sami Street, Lucknow, India",Monsoon,Sunday
TXN4134169,2024-05-07,11:02:55,CUST35080,Parinaaz Shenoy,28,Male,Middle,Monthly,First-Time Shopper,No,"Sugar, Tea","Groceries, Groceries",2,8832.78,Credit Card,0.0,Chennai,South,Supermarket,"70, Brar Ganj, Chennai, India",Spring,Tuesday
TXN5184068,2024-05-25,11:02:55,CUST71029,Divyansh Loke,58,Female,Middle,Occasional,Frequent Shopper,Yes,"Tablet, Shampoo, Headphones","Electronics, Personal Care, Electronics",3,6559.51,Net Banking,5.93,Bangalore,South,Supermarket,"87/587, Bala Path, Bangalore, India",Spring,Saturday
TXN9173728,2024-02-05,11:02:55,CUST31371,Nitya Bhatti,51,Male,Middle,Weekly,Frequent Shopper,No,"Fruit Juice, Bluetooth Speaker, Shampoo","Beverages, Electronics, Personal Care",3,5482.41,UPI,0.0,Hyderabad,South,Supermarket,"H.No. 752, Date Nagar, Hyderabad, India",Winter,Monday
TXN6643536,2024-07-13,11:02:55,CUST48294,Yashvi Warrior,61,Female,Middle,Weekly,First-Time Shopper,Yes,"Fruit Juice, Headphones, Soft Drink","Beverages, Electronics, Beverages",3,9816.75,Cash,17.18,Bangalore,South,Supermarket,"07/43, Anne, Bangalore, India",Summer,Saturday
TXN2492131,2024-12-20,11:02:55,CUST59339,Pranay Lata,50,Female,Middle,Monthly,First-Time Shopper,Yes,"Sneakers, Chocolate, Chips","Clothing, Snacks, Snacks",3,10555.529999999999,Cash,29.21,Delhi,North,Supermarket,"H.No. 77, Rana Ganj, Delhi, India",Winter,Friday
TXN2334584,2024-04-03,11:02:55,CUST47772,Arnav Borde,33,Male,High,Occasional,Budget Buyer,No,"Coffee, Noodles","Groceries, Snacks",2,5769.0,Cash,0.0,Jaipur,North,Supermarket,"H.No. 44, Sanghvi Nagar, Jaipur, India",Spring,Wednesday
TXN6809258,2024-09-24,11:02:55,CUST46609,Miraan Ravi,52,Male,Low,Weekly,Luxury Shopper,Yes,"Flower Vase, Hair Oil, Chocolate, Soap","Home Decor, Personal Care, Snacks, Personal Care",4,5954.47,UPI,0.0,Lucknow,North,Supermarket,"H.No. 971, Sachdeva Circle, Lucknow, India",Autumn,Tuesday
TXN6447424,2024-02-04,11:02:55,CUST35017,Fateh Bandi,33,Male,High,Monthly,Luxury Shopper,No,"Rice, Lamp, Smartwatch","Groceries, Home Decor, Electronics",3,8462.49,Cash,23.16,Lucknow,North,Supermarket,"036, Chana Chowk, Lucknow, India",Winter,Sunday
TXN9765551,2024-07-27,11:02:55,CUST10079,Sara Hora,22,Male,High,Weekly,Budget Buyer,No,"Fruit Juice, Toothpaste, Green Tea, Soft Drink","Beverages, Personal Care, Beverages, Beverages",4,8884.59,Cash,0.0,Jaipur,North,Supermarket,"42/61, Johal Marg, Jaipur, India",Summer,Saturday
TXN3278873,2024-04-27,11:02:55,CUST91888,Raghav Khurana,24,Male,Low,Occasional,Luxury Shopper,No,"Flower Vase, Wall Art","Home Decor, Home Decor",2,5302.74,Cash,0.0,Kolkata,East,Supermarket,"H.No. 079, Ghose Ganj, Kolkata, India",Spring,Saturday
TXN2872059,2024-05-03,11:02:55,CUST73502,Ahana  Garde,60,Female,Low,Monthly,Frequent Shopper,Yes,"Namkeen, Curtains","Snacks, Home Decor",2,5995.11,Debit Card,25.73,Ahmedabad,West,Supermarket,"52, Magar Nagar, Ahmedabad, India",Spring,Friday
TXN6514035,2025-01-12,11:02:55,CUST59098,Emir Sani,52,Male,Low,Occasional,First-Time Shopper,Yes,"Wall Art, Toothpaste","Home Decor, Personal Care",2,3751.52,Debit Card,6.34,Lucknow,North,Supermarket,"001, Baral Marg, Lucknow, India",Winter,Sunday
TXN5692807,2024-03-03,11:02:55,CUST11902,Jayesh Bath,33,Female,Low,Monthly,Luxury Shopper,No,"Coffee, Green Tea","Groceries, Beverages",2,6481.4400000000005,UPI,16.16,Chennai,South,Supermarket,"H.No. 29, Balan Nagar, Chennai, India",Spring,Sunday
TXN4689812,2024-12-23,11:02:55,CUST61364,Ritvik Banerjee,26,Female,High,Monthly,Frequent Shopper,No,"Rice, Dry Fruits, Lamp","Groceries, Snacks, Home Decor",3,6088.280000000001,Cash,0.11,Hyderabad,South,Supermarket,"66/430, Gulati Circle, Hyderabad, India",Winter,Monday
TXN2004204,2025-01-11,11:02:55,CUST49440,Zaina Divan,33,Male,Middle,Weekly,First-Time Shopper,No,"Toothpaste, Wall Art, Noodles","Personal Care, Home Decor, Snacks",3,11076.16,Debit Card,0.0,Jaipur,North,Supermarket,"831, Korpal Marg, Jaipur, India",Winter,Saturday
TXN9640242,2024-07-11,11:02:55,CUST26830,Lakshit Bhattacharyya,57,Male,High,Monthly,Budget Buyer,No,"Fruit Juice, Green Tea, Jeans, Shampoo","Beverages, Beverages, Clothing, Personal Care",4,15772.859999999999,Credit Card,20.61,Bangalore,South,Supermarket,"H.No. 64, Khalsa Road, Bangalore, India",Summer,Thursday
TXN4141975,2024-09-24,11:02:55,CUST85104,Armaan Gupta,56,Female,Middle,Weekly,First-Time Shopper,No,"Bread, Noodles","Groceries, Snacks",2,6795.46,Credit Card,5.34,Lucknow,North,Supermarket,"H.No. 606, Rout Chowk, Lucknow, India",Autumn,Tuesday
TXN9334464,2024-06-06,11:02:55,CUST20196,Ayesha Karan,38,Male,High,Monthly,First-Time Shopper,No,"Hair Oil, Spices","Personal Care, Groceries",2,2582.1800000000003,Credit Card,17.9,Chennai,South,Supermarket,"89/21, Bhat Road, Chennai, India",Summer,Thursday
TXN3899685,2024-04-27,11:02:55,CUST84102,Arnav Balan,38,Male,Middle,Monthly,Budget Buyer,No,"Dry Fruits, Green Tea, Saree","Snacks, Beverages, Clothing",3,8324.720000000001,Debit Card,0.0,Mumbai,West,Supermarket,"29, Krishnamurthy Nagar, Mumbai, India",Spring,Saturday
TXN5922320,2024-06-17,11:02:55,CUST74959,Anaya Rao,22,Male,High,Weekly,Frequent Shopper,No,"Shirt, Shirt, Energy Drink, Namkeen","Clothing, Clothing, Beverages, Snacks",4,10594.61,Debit Card,0.0,Pune,West,Supermarket,"01/17, Shah Nagar, Pune, India",Summer,Monday
TXN7428474,2024-02-11,11:02:55,CUST76478,Tiya Hayre,42,Male,Middle,Monthly,Budget Buyer,Yes,"Smartwatch, Rice","Electronics, Groceries",2,4745.99,Debit Card,19.49,Jaipur,North,Supermarket,"H.No. 76, Madan Path, Jaipur, India",Winter,Sunday
TXN8714154,2024-11-28,11:02:55,CUST14311,Amani Shukla,35,Female,Low,Monthly,Luxury Shopper,Yes,"Hair Oil, Lamp, Chocolate","Personal Care, Home Decor, Snacks",3,5797.12,Cash,0.0,Ahmedabad,West,Supermarket,"H.No. 79, Wali Nagar, Ahmedabad, India",Autumn,Thursday
TXN5888098,2024-03-09,11:02:55,CUST11556,Zara Setty,28,Male,Middle,Occasional,Luxury Shopper,Yes,"Milk, Trousers, Fruit Juice","Groceries, Clothing, Beverages",3,5418.79,UPI,0.0,Jaipur,North,Supermarket,"675, Sheth, Jaipur, India",Spring,Saturday
TXN1178689,2024-02-06,11:02:55,CUST34584,Tiya Konda,32,Female,High,Weekly,Frequent Shopper,Yes,Coffee,Groceries,1,2131.39,Cash,0.0,Ahmedabad,West,Supermarket,"10/99, Manne, Ahmedabad, India",Winter,Tuesday
TXN7073746,2024-04-07,11:02:55,CUST10790,Shanaya Tella,42,Female,Middle,Weekly,First-Time Shopper,Yes,"Smartwatch, Green Tea","Electronics, Beverages",2,3908.2200000000003,UPI,0.0,Pune,West,Supermarket,"84, Sehgal Circle, Pune, India",Spring,Sunday
